Revenue,Company_Density,Product_Density
171711.31664620893,7.223295435722677e-06,0.0
172896.26581820977,7.131021505773047e-06,0.0
174081.21499021063,7.035383109585841e-06,0.0
175266.16416221147,6.936864259269439e-06,0.0
176451.1133342123,6.835974411142684e-06,0.0
177636.06250621314,6.7332382659982465e-06,0.0
178821.011678214,6.629185566162221e-06,0.0
180005.96085021485,6.52434114264216e-06,0.0
181190.91002221568,6.419215449178547e-06,0.0
182375.85919421655,6.314295796871373e-06,0.0
183560.8083662174,6.210038474145231e-06,0.0
184745.75753821823,6.106861903251597e-06,0.0
185930.7067102191,6.005140947560065e-06,0.0
187115.65588221993,5.905202444945813e-06,0.0
188300.60505422077,5.807322003076642e-06,0.0
189485.55422622163,5.71172205376768e-06,0.0
190670.50339822247,5.6185711271633874e-06,0.0
191855.4525702233,5.5279842735530205e-06,0.0
193040.40174222414,5.4400245321765565e-06,0.0
194225.350914225,5.3547053232591765e-06,0.0
195410.30008622585,5.271993622298641e-06,0.0
196595.2492582267,5.191813764626067e-06,0.0
197780.19843022755,5.1140517234994295e-06,0.0
198965.1476022284,5.03855970624093e-06,0.0
200150.09677422923,4.965160919724934e-06,0.0
201335.0459462301,4.893654368188242e-06,0.0
202519.99511823093,4.823819562030669e-06,0.0
203704.94429023177,4.7554210350481085e-06,0.0
204889.8934622326,4.688212588374239e-06,0.0
206074.84263423347,4.621941201268199e-06,0.0
207259.7918062343,4.5563505707745415e-06,0.0
208444.74097823515,4.491184263274316e-06,0.0
209629.690150236,4.4261884802275594e-06,0.0
210814.63932223685,4.361114457299638e-06,0.0
211999.5884942377,4.295720530042139e-06,0.0
213184.53766623855,4.229773910000731e-06,0.0
214369.4868382394,4.163052222347567e-06,0.0
215554.43601024023,4.095344859839943e-06,0.0
216739.3851822411,4.02645420818894e-06,0.0
217924.33435424193,3.956196795007127e-06,0.0
219109.28352624277,3.884404408726396e-06,0.0
220294.2326982436,3.8109252256562847e-06,0.0
221479.18187024447,3.735624973177077e-06,0.0
222664.1310422453,3.6583881454660253e-06,0.0
223849.08021424615,3.5791192757029843e-06,0.0
225034.029386247,3.497744255969687e-06,0.0
226218.97855824785,3.4142116836166798e-06,0.0
227403.9277302487,3.328494201275972e-06,0.0
228588.87690224955,3.2405897874646465e-06,0.0
229773.8260742504,3.1505229463249364e-06,0.0
230958.77524625123,3.0583457388874603e-06,0.0
232143.72441825207,2.96413859465725e-06,0.0
233328.67359025293,2.868010841546615e-06,0.0
234513.62276225377,2.7701008943532517e-06,0.0
235698.5719342546,2.670576047129934e-06,0.0
236883.52110625547,2.5696318228185633e-06,0.0
238068.4702782563,2.467490844207019e-06,0.0
239253.41945025715,2.3644012032721673e-06,0.0
240438.368622258,2.260634320842817e-06,0.0
